Type,Id,Name,Frequency (Hz),Latitude,Longitude,Altitude (m),Power,TII Main,TII Sub
AM,BBC Radio Derby (AM) Derbyshire Burnaston,BBC Radio Derby (AM),1116000,52.879237,-1.560132,60,1,,
AM,BBC Radio Gloucestershire (AM) Gloucestershire Berkeley Heath,BBC Radio Gloucestershire (AM),1413000,51.691681,-2.422387,17,0.2,,
AM,BBC Radio Jersey (AM) Jersey Trinity,BBC Radio Jersey (AM),1026000,49.2247,-2.107062,105,1,,
AM,BBC Radio Norfolk (AM) Norfolk West Lynn,BBC Radio Norfolk (AM),873000,52.742777,0.386521,3,0.25,,
AM,BBC Radio Scotland (AM) Scotland Burghead,BBC Radio Scotland (AM),810000,57.69801,-3.46983,40,100,,
AM,BBC Radio Scotland (AM) Central Scotland Westerglen,BBC Radio Scotland (AM),810000,55.974427,-3.818043,155,100,,
AM,BBC Radio Wales (AM) Wales Washford,BBC Radio Wales (AM),882000,51.161365,-3.347935,41,10,,
AM,BBC Somerset (AM) Somerset Taunton MF,BBC Somerset (AM),1566000,51.02226,-3.088245,21,1,,
AM,BFBS Bovington Bovington Camp,BFBS,1287000,50.701288,-2.239253,50,0.001,,
AM,BFBS Gurkha Radio Aldershot Aldershot Garrison - St Omer Barracks,BFBS Gurkha Radio,1278000,51.260401,-0.743088,83,0.001,,
AM,BFBS Gurkha Radio Stafford Beaconside Stafford,BFBS Gurkha Radio,1278000,52.815291,-2.091948,78,0.004,,
AM,BFBS Gurkha Radio Blandford Forum Blandford Camp,BFBS Gurkha Radio,1287000,50.875033,-2.115071,80,0.001,,
AM,BFBS Gurkha Radio Nuneaton Bramcote Barracks,BFBS Gurkha Radio,1134000,52.492879,-1.400508,111,0.001,,
AM,BFBS Gurkha Radio Brecon Brecon Barracks,BFBS Gurkha Radio,1287000,51.946758,-3.390856,133,0.001,,
AM,BFBS Gurkha Radio Gillingham Brompton Barracks,BFBS Gurkha Radio,1287000,51.39174,0.5326,38,0.001,,
AM,BFBS Gurkha Radio Hullavington Buckley Barracks,BFBS Gurkha Radio,1287000,51.530529,-2.128252,91,0.001,,
AM,BFBS Gurkha Radio Salisbury Bulford Camp,BFBS Gurkha Radio,1134000,51.18517,-1.722235,184,0.001,,
AM,BFBS Gurkha Radio Abingdon Dalton Barracks,BFBS Gurkha Radio,1134000,51.688584,-1.304137,67,0.001,,
AM,BFBS Gurkha Radio Innsworth Imjin Barracks,BFBS Gurkha Radio,1287000,51.890072,-2.200475,10,0.001,,
AM,BFBS Gurkha Radio Camberley Sandhurst,BFBS Gurkha Radio,1134000,51.346493,-0.806784,59,0.001,,
AM,BFBS Gurkha Radio Folkestone Sir John Moore Bks,BFBS Gurkha Radio,1287000,51.076852,1.130745,80,0.001,,
AM,BFBS Gurkha Radio Perham Down Swinton Barracks,BFBS Gurkha Radio,1278000,51.238702,-1.634678,132,0.001,,
AM,BFBS Gurkha Radio Catterick Vimy Barracks,BFBS Gurkha Radio,1134000,54.362774,-1.718342,186,0.001,,
AM,BFBS Gurkha Radio Warminster Warminster - BFBS Community Centre,BFBS Gurkha Radio,1287000,51.208761,-2.165146,132,0.001,,
AM,Bradford Asian Radio Bradford Bradford - St Barnabas Church,Bradford Asian Radio,1413000,53.816917,-1.783525,186,0.01,,
AM,Canterbury Hospital Radio Canterbury Kent and Canterbury Hospital,Canterbury Hospital Radio,945000,51.266026,1.086243,42,0.001,,
AM,Carillon Radio Coalville Coalville Community Hospital,Carillon Radio,1431000,52.722761,-1.351463,160,0.001,,
AM,Carillon Wellbeing Radio Coalville Coalville Town FC,Carillon Wellbeing Radio,1476000,52.722298,-1.38271,152,0.25,,
AM,CHR 1431 AM Chichester St Richard's Hospital,CHR 1431 AM,1431000,50.846129,-0.769877,20,0.001,,
AM,Clyde 2 Glasgow Dechmont Hill,Clyde 2,1152000,55.794472,-4.159643,32,3.6,,
AM,Dales Radio Yorkshire Dales Hawes MF,Dales Radio,936000,54.307766,-2.193151,230,0.15,,
AM,Desi Radio Southall Glade Lane,Desi Radio,1602000,51.50439,-0.359891,27,0.16,,
AM,Downtown Radio Belfast Knock-Breckan,Downtown Radio,1026000,54.537281,-5.882789,137,1.7,,
AM,Flame CCR Wirral Willaston,Flame CCR,1521000,53.285675,-3.009447,49,0.07,,
AM,Forth 2 Edinburgh Colinswell,Forth 2,1548000,56.061352,-3.252606,7,2.2,,
AM,Gold Manchester Ashton Moss (NGW),Gold,1458000,53.482863,-2.128802,101,5,,
AM,Gold Peterborough Gunthorpe,Gold,1332000,52.617188,-0.247858,3,0.6,,
AM,Gold Northampton Kings Heath,Gold,1557000,52.263422,-0.917137,63,0.760001,,
AM,Gold Derby Quarndon,Gold,945000,52.973416,-1.507057,125,0.2,,
AM,Gold London Saffron Green,Gold,1548000,51.66492,-0.243194,98,97.5001,,
AM,Gold Nottingham Trowell,Gold,999000,52.953184,-1.248147,69,0.25,,
AM,Greatest Hits Radio Barnsley Ardsley,Greatest Hits Radio,1305000,53.550702,-1.412685,94,0.15,,
AM,Greatest Hits Radio Doncaster Crimpsall,Greatest Hits Radio,990000,53.522412,-1.147759,12,0.25,,
AM,Greatest Hits Radio Tyne and Wear Greenside,Greatest Hits Radio,1152000,54.95869,-1.765727,122,1.8,,
AM,Greatest Hits Radio Stoke-on-Trent Sideway,Greatest Hits Radio,1170000,52.987686,-2.185565,101,0.2,,
AM,Greatest Hits Radio Sheffield and Rotherham Skew Hill,Greatest Hits Radio,1548000,53.435456,-1.509255,229,0.74,,
AM,Greatest Hits Radio Teesside Stockton,Greatest Hits Radio,1170000,54.588636,-1.349732,38,0.32,,
AM,Greatest Hits Radio Bradford Tyersal Lane,Greatest Hits Radio,1278000,53.785735,-1.702486,186,0.43,,
AM,Greatest Hits Radio Halifax and Huddersfield Vicars Lot,Greatest Hits Radio,1530000,53.651685,-1.892848,340,0.74,,
AM,Hub Radio North Bristol UWE Frenchay Campus,Hub Radio,1449000,51.499642,-2.548824,77,0.001,,
AM,Jeo Radio London Sewardstone,Jeo Radio,1584000,51.659623,-0.007147,18,0.5,,
AM,L and D Radio Luton & Dunstable Luton and Dunstable Hospital,L and D Radio,1134000,51.893859,-0.47553,136,0.001,,
AM,LBC News London Saffron Green,LBC News,1152000,51.66492,-0.243194,98,23.5,,
AM,Leicester Community Radio Leicester St. Peter's Highfield Church,Leicester Community Radio,1449000,52.629934,-1.116632,80,0.001,,
AM,Livewire Radio Norwich Colney Training Centre,Livewire Radio,1350000,52.613702,1.206812,32,0.001,,
AM,Lyca Dil Se 1035 London Glade Lane,Lyca Dil Se 1035,1035000,51.50439,-0.359891,27,2.5,,
AM,Lyca Radio 1458 London Brookmans Park,Lyca Radio 1458,1458000,51.727838,-0.176464,127,125,,
AM,Manx Radio (AM) Isle of Man FOXDALE,Manx Radio (AM),1368000,54.167479,-4.61788,164,20,,
AM,MFR 2 Inverness Tarbat Ness,MFR 2,1107000,57.831682,-3.804014,12,1.5,,
AM,Mid-Downs Radio Haywards Heath Princess Royal Hospital,Mid-Downs Radio,1350000,50.989879,-0.090688,79,0.001,,
AM,Panjab Radio Greater London Crystal Palace,Panjab Radio,558000,51.424161,-0.074944,110,2.5,,
AM,Premier Christian Radio London Bow,Premier Christian Radio,1332000,51.532918,-0.017732,1,1,,
AM,Premier Christian Radio London Chingford,Premier Christian Radio,1305000,51.650405,-0.00972,15,0.5,,
AM,Premier Christian Radio London Dartford Marshes,Premier Christian Radio,1413000,51.470819,0.235016,3,0.5,,
AM,Premier Christian Radio London Heathrow,Premier Christian Radio,1413000,51.483903,-0.446896,25,0.5,,
AM,Premier Christian Radio London North Looe,Premier Christian Radio,1305000,51.334992,-0.237316,83,0.5,,
AM,Premier Christian Radio Guildford Peasmarsh,Premier Christian Radio,1566000,51.203838,-0.592895,39,0.8,,
AM,Radio BGWS Farnborough,Radio BGWS,1179000,51.308305,-0.766169,72,0.001,,
AM,Radio Caroline Suffolk Orfordness-A,Radio Caroline,648000,52.102899,1.574156,5,4,,
AM,Radio Cavell Oldham Royal Oldham Hospital,Radio Cavell,1350000,53.55235,-2.122221,176,0.001,,
AM,Radio City Swansea Swansea Mynydd-bach-y-glo,Radio City Swansea,1386000,51.642985,-4.003012,49,0.002,,
AM,Radio Clatterbridge Clatterbridge Clatterbridge Hospital,Radio Clatterbridge,1386000,53.332267,-3.027065,27,0.001,,
AM,Radio Panj Coventry Ryton on Dunsmore,Radio Panj,1521000,52.362389,-1.428267,80,0.1,,
AM,Radio Ramadan 365 Glasgow Glasgow - Shieldhall,Radio Ramadan 365,1530000,55.86858,-4.338619,2,0.04,,
AM,Radio Redhill Redhill East Surrey Hospital,Radio Redhill,1431000,51.218538,-0.161434,66,0.001,,
AM,Radio Seerah Leicester Leicester - SIR Fabrics,Radio Seerah,1575000,52.627046,-1.106748,73,0.004,,
AM,Radio Warrington Warrington,Radio Warrington,1332000,53.376934,-2.626032,1,0.1,,
AM,Radio XL Birmingham Langley Mill  B,Radio XL,1296000,52.566973,-1.760955,91,10,,
AM,RaW 1251 AM Coventry University of Warwick,RaW 1251 AM,1251000,52.379413,-1.562174,90,0.001,,
AM,Reindeer Lodge Mold Black Meadows - Mold,Reindeer Lodge,1287000,53.128628,-3.098319,149,0.001,,
AM,Sabras Radio Leicester Freemens Common,Sabras Radio,1260000,52.61896,-1.13158,79,0.29,,
AM,Salaam BCR BURY Bury - Jackson Fold Farm,Salaam BCR,1566000,53.579265,-2.264119,115,0.06,,
AM,Smooth Radio Chelmsford Bakers Wood,Smooth Radio,1359000,51.705132,0.401129,90,0.28,,
AM,Smooth Radio Eastbourne Bexhill MF,Smooth Radio,945000,50.837744,0.447085,15,0.7,,
AM,Smooth Radio Swindon Blunsdon MF,Smooth Radio,1161000,51.609004,-1.794462,147,0.16,,
AM,Smooth Radio Great Yarmouth and Norwich Brundall,Smooth Radio,1152000,52.618097,1.403665,3,0.83,,
AM,Smooth Radio Portsmouth Farlington Marshes,Smooth Radio,1170000,50.842237,-1.024216,3,0.12,,
AM,Smooth Radio Wrexham and Deeside Farndon,Smooth Radio,1260000,53.092461,-2.889935,7,0.64,,
AM,Smooth Radio Bournemouth Fern Barrow,Smooth Radio,828000,50.732788,-1.902461,44,0.27,,
AM,Smooth Radio Ipswich Foxhall Heath,Smooth Radio,1170000,52.055203,1.226159,31,0.28,,
AM,Smooth Radio Bury St Edmunds Great Barton,Smooth Radio,1251000,52.283402,0.764679,61,0.760001,,
AM,Smooth Radio Maidstone and Medway Hoo St Werburgh MF,Smooth Radio,1242000,51.427787,0.57056,20,0.32,,
AM,Smooth Radio Gloucester and Cheltenham Little Shurdington,Smooth Radio,774000,51.856009,-2.127435,69,0.14,,
AM,Smooth Radio East Kent Littlebourne,Smooth Radio,603000,51.287498,1.157969,32,0.4,,
AM,Smooth Radio West Wiltshire Naish Hill,Smooth Radio,936000,51.416202,-2.076595,175,0.18,,
AM,Smooth Radio Plymouth Plumer Barracks,Smooth Radio,1152000,50.406749,-4.125485,101,0.32,,
AM,Smooth Radio Southend Rayleigh MF,Smooth Radio,1431000,51.582733,0.639928,33,0.35,,
AM,Smooth Radio Brighton Southwick,Smooth Radio,1323000,50.832284,-0.24922,5,0.5,,
AM,Smooth Radio Southampton Veals Farm,Smooth Radio,1557000,50.883626,-1.437023,4,0.5,,
AM,Stag Radio Guildford University of Surrey,Stag Radio,1350000,51.242457,-0.588852,70,0.001,,
AM,Sunrise Radio West London Glade Lane,Sunrise Radio,972000,51.50439,-0.359891,27,1.6,,
AM,Sunrise Radio London Lea Bridge Road,Sunrise Radio,963000,51.561867,-0.038692,10,0.950001,,
AM,Sunshine Radio (AM) Ludlow Villa Farm Greete,Sunshine Radio (AM),855000,52.334295,-2.63292,92,0.15,,
AM,Talk Sport Lincs Boston MF,Talk Sport,1107000,52.985991,-0.124813,0,1,,
AM,Talk Sport London Brookmans Park,Talk Sport,1089000,51.727838,-0.176464,127,400,,
AM,Talk Sport Nottingham Clipstone,Talk Sport,1071000,53.171618,-1.128693,91,1,,
AM,Talk Sport Dartford Tunnel,Talk Sport,1089000,51.469253,0.260425,3,0.004,,
AM,Talk Sport Worcestershire Droitwich,Talk Sport,1053000,52.298545,-2.105388,48,500,,
AM,Talk Sport Dumfries Dumfries MF,Talk Sport,1053000,55.027822,-3.480171,12,10,,
AM,Talk Sport West Sussex Duxhurst,Talk Sport,1107000,51.193421,-0.200217,65,1,,
AM,Talk Sport Hampshire Fareham,Talk Sport,1107000,50.849331,-1.226918,30,1,,
AM,Talk Sport Bournemouth Fern Barrow,Talk Sport,1053000,50.732788,-1.902461,44,1,,
AM,Talk Sport Dundee Greenside Scalp,Talk Sport,1053000,56.449964,-2.924023,15,1,,
AM,Talk Sport Humberside Hull MF,Talk Sport,1053000,53.715959,-0.229947,8,1,,
AM,Talk Sport Antrim Lisnagarvey,Talk Sport,1089000,54.489676,-6.060423,44,12.5,,
AM,Talk Sport East Kent Lydd,Talk Sport,1107000,50.950918,0.91565,2,2,,
AM,Talk Sport West Yorkshire Moorside Edge,Talk Sport,1089000,53.635238,-1.894553,340,400,,
AM,Talk Sport Norfolk Postwick,Talk Sport,1053000,52.626852,1.402572,26,18,,
AM,Talk Sport Sussex Southwick,Talk Sport,1053000,50.832284,-0.24922,5,2.2,,
AM,Talk Sport Cleveland Stockton,Talk Sport,1053000,54.588636,-1.349732,38,1,,
AM,Talk Sport West Kent Tonbridge,Talk Sport,1053000,51.139442,0.224404,104,4,,
AM,Talk Sport Merseyside Wallasey,Talk Sport,1107000,53.42567,-3.046924,40,0.5,,
AM,Talk Sport Somerset Washford,Talk Sport,1089000,51.161365,-3.347935,41,80,,
AM,Talk Sport Central Scotland Westerglen,Talk Sport,1089000,55.974427,-3.818043,155,125,,
AM,Talk Sport Newcastle Wrekenton,Talk Sport,1071000,54.932736,-1.572984,152,1,,
AM,Tay 2 Perth Friarton Road,Tay 2,1584000,56.376097,-3.427597,20,0.21,,
AM,Tay 2 Dundee Greenside Scalp,Tay 2,1161000,56.449964,-2.924023,15,1.4,,
AM,University Radio York York University of York,University Radio York,1350000,53.947755,-1.053788,15,0.001,,
AM,WestSound Ayr Symington,WestSound,1035000,55.567692,-4.574968,50,0.32,,
FM,10 Radio Wiveliscombe Milverton,10 Radio,105300000,51.027561,-3.275316,148,0.025,,
FM,1055 The Point Milton Keynes Milton Keynes - Saxon Gate,1055 The Point,105500000,52.043319,-0.761199,111,0.025,,
FM,107FM East Hull Hull - Muswell Court,107FM,107400000,53.775775,-0.281912,4,0.025,,
FM,1BTN Brighton and Hove Brighton Race Course,1BTN,101400000,50.829169,-0.112873,124,0.025,,
FM,3FM Isle of Man Beary Peark,3FM,106200000,54.216063,-4.616199,289,0.26,,
FM,3FM Cronk ny Arrey,3FM,104200000,54.067672,-4.76307,159,0.05,,
FM,3FM Isle of Man DOUGLAS,3FM,105000000,54.140551,-4.493075,143,1.8,,
FM,3FM Ramsey Ramsey Town C,3FM,104200000,54.324756,-4.386402,2,0.05,,
FM,3FM Isle of Man Snaefell,3FM,106600000,54.262536,-4.462965,610,0.201,,
FM,3TFM Community Radio for Health Saltcoats,3TFM Community Radio for Health,103100000,55.646655,-4.774865,47,0.025,,
FM,60 North FM Shetland Isles Brae Marina (LRSL),60 North FM,87700000,60.392566,-1.364989,0,0.001,,
FM,60 North FM Shetland Isles Bressay and Noss Nature Reserve (LRSL),60 North FM,87700000,60.120015,-1.121929,1,0.001,,
FM,60 North FM Shetland Isles Eshares (LRSL),60 North FM,87700000,60.489627,-1.62696,58,0.001,,
FM,60 North FM Shetland Isles Haroldswick (LRSL),60 North FM,87700000,60.798307,-0.82047,33,0.001,,
FM,60 North FM Shetland Isles Sumburgh Head Nature Reserve (LRSL),60 North FM,87700000,59.854256,-1.275309,65,0.001,,
FM,60 North FM Shetland Isles Walls Marina (LRSL),60 North FM,87700000,60.22636,-1.563163,1,0.001,,
FM,Abbey 104 Sherborne,Abbey 104,104700000,50.959202,-2.514807,116,0.025,,
FM,Academy FM 105.9 Folkestone Folkestone Academy,Academy FM 105.9,105900000,51.091482,1.1653,42,0.025,,
FM,Academy FM 107.8 Thanet Ramsgate - Royal Harbour Academy,Academy FM 107.8,107800000,51.350467,1.392417,49,0.05,,
FM,AIR Weymouth,AIR,107200000,50.59912,-2.476532,64,0.1,,
FM,Aldergrove and Antrim FM Aldergrove and Antrim RAF Aldergrove,Aldergrove and Antrim FM,106500000,54.65275,-6.21226,86,0.025,,
FM,Alfred Shaftesbury Shaftesbury - Trinity Centre,Alfred,107300000,51.00592,-2.199129,218,0.025,,
FM,Alive Radio Dumfries,Alive Radio,107300000,55.065505,-3.619211,40,0.08,,
FM,ALL FM Manchester Manchester - Bickerdike Court,ALL FM,96900000,53.4542,-2.1888,56,0.05,,
FM,Amber Sound FM Belper Belper - King Street,Amber Sound FM,98400000,53.02319,-1.479655,81,0.025,,
FM,Amber Sound FM Ripley,Amber Sound FM,107200000,53.048812,-1.403566,152,0.025,,
FM,Ambur Radio Walsall Walsall - Townend House,Ambur Radio,99400000,52.586091,-1.984607,125,0.05,,
FM,Andover Radio Andover Andover - Michedever Road,Andover Radio,95900000,51.204151,-1.465333,114,0.025,,
FM,Angel Radio Portsmouth and Havant Fort Widley,Angel Radio,98600000,50.853922,-1.067587,102,0.1,,
FM,Angel Radio Isle of Wight Isle Of Wight Newport - Garretts Farm,Angel Radio Isle of Wight,91500000,50.683007,-1.275373,97,0.025,,
FM,Anker Radio Nuneaton George Eliot Hospital - maternity,Anker Radio,88900000,52.512434,-1.476864,100,0.001,,
FM,Apple FM Taunton Taunton - Musgrove Park Hospital,Apple FM,97300000,51.011891,-3.119648,20,0.025,,
FM,Argyll FM Kintyre Islay and Jura Ballygroggan,Argyll FM,107100000,55.405447,-5.746276,182,0.625,,
FM,Argyll FM Kintyre Islay and Jura Campbeltown - Baraskomill,Argyll FM,106500000,55.433038,-5.569557,92,0.5,,
FM,Argyll FM Kintyre Islay and Jura South Knapdale,Argyll FM,107700000,55.91751,-5.462223,481,0.5,,
FM,Ashdown Radio Crowborough,Ashdown Radio,94700000,51.05856,0.158875,221,0.025,,
FM,Ashdown Radio Uckfield,Ashdown Radio,105000000,50.967238,0.111767,47,0.125,,
FM,Asian Star 101.6 FM Slough Slough - Queensmere,Asian Star 101.6 FM,101600000,51.508658,-0.591451,30,0.025,,
FM,Awaaz FM Southampton Midanbury - The Castle,Awaaz FM,99800000,50.92624,-1.364941,62,0.0216,,
FM,Awaz FM Glasgow Glasgow - Dundasvale Court - Block 2,Awaz FM,107200000,55.869339,-4.259542,30,0.025,,
FM,B Radio Farnborough Farnborough - Westmead House,B Radio,106500000,51.289155,-0.757935,68,0.1,,
FM,B Radio Reading Reading - Fountain House,B Radio,95600000,51.454569,-0.977254,43,0.1,,
FM,Bailrigg FM Lancaster Lancaster University,Bailrigg FM,95300000,54.008228,-2.785769,57,0.002,,
FM,Bangor FM Bangor Bangor - SERC,Bangor FM,107900000,54.65614,-5.662282,22,0.025,,
FM,Basildon Hospital Radio (BHR) Basildon Basildon - University Hospital,Basildon Hospital Radio (BHR),87700000,51.558561,0.452552,50,5e-05,,
FM,BBC Coventry and Warwickshire Nuneaton Hartshill Quarry,BBC Coventry and Warwickshire,104000000,52.540463,-1.503661,140,0.05,,
FM,BBC Coventry and Warwickshire Coventry and Warwickshire Lark Stoke,BBC Coventry and Warwickshire,103700000,52.081613,-1.728531,260,0.7,,
FM,BBC Coventry and Warwickshire Coventry Meriden VHF,BBC Coventry and Warwickshire,94800000,52.457753,-1.624974,178,1.1,,
FM,BBC Essex (FM) Essex Benfleet,BBC Essex (FM),95300000,51.550856,0.5811,80,1.0064,,
FM,BBC Essex (FM) Dartford Tunnel,BBC Essex (FM),95300000,51.469253,0.260425,3,0,,
FM,BBC Essex (FM) Essex Great Braxted,BBC Essex (FM),103500000,51.801904,0.710885,81,6,,
FM,BBC Guernsey (FM) Alderney,BBC Guernsey (FM),99000000,49.717948,-2.189296,69,0.025,,
FM,BBC Guernsey (FM) Guernsey Les Touillets,BBC Guernsey (FM),93200000,49.457792,-2.579202,76,0.5,,
FM,BBC Hereford and Worcester (FM) Redditch Headless Cross GSC,BBC Hereford and Worcester (FM),104400000,52.294535,-1.946877,162,0.1,,
FM,BBC Hereford and Worcester (FM) Kidderminster KIDDERMINSTER,BBC Hereford and Worcester (FM),104600000,52.363252,-2.282794,82,0.25,,
FM,BBC Hereford and Worcester (FM) Worcestershire MALVERN,BBC Hereford and Worcester (FM),104000000,52.115715,-2.330146,161,1,,
FM,BBC Hereford and Worcester (FM) Herefordshire RIDGE HILL,BBC Hereford and Worcester (FM),94700000,51.997433,-2.53989,204,1,,
FM,BBC Lincolnshire (FM) Lincolnshire Belmont,BBC Lincolnshire (FM),94900000,53.335814,-0.171983,125,3,,
FM,BBC Lincolnshire (FM) Grantham,BBC Lincolnshire (FM),104700000,52.892406,-0.655971,115,0.05,,
FM,BBC London 94.9 London Crystal Palace,BBC London 94.9,94900000,51.424161,-0.074944,110,2,,
FM,BBC London 94.9 Dartford Tunnel,BBC London 94.9,94900000,51.469253,0.260425,3,0,,
FM,BBC Newcastle (FM) Northumberland CHATTON,BBC Newcastle (FM),96000000,55.531826,-1.834261,192,2.8,,
FM,BBC Newcastle (FM) Newcastle Fenham,BBC Newcastle (FM),104400000,54.978039,-1.662966,120,0.042,,
FM,BBC Newcastle (FM) Newcastle NEWTON,BBC Newcastle (FM),103700000,54.982447,-1.945593,165,0.1,,
FM,BBC Newcastle (FM) Tyneside PONTOP PIKE,BBC Newcastle (FM),95400000,54.868838,-1.771233,302,5,,
FM,BBC Oxford Oxfordshire Oxford,BBC Oxford,95200000,51.790638,-1.179183,130,2.54081,,
FM,BBC Radio 1 Aberdare,BBC Radio 1,98800000,51.702007,-3.398531,282,0.021,,
FM,BBC Radio 1 Abergavenny,BBC Radio 1,98300000,51.807795,-3.097781,433,0.02,,
FM,BBC Radio 1 Pontypool Abertillery,BBC Radio 1,98600000,51.714666,-3.12404,400,0.01,,
FM,BBC Radio 1 Argyll & Bute Ardgour,BBC Radio 1,98300000,56.712175,-5.290096,12,0.005,,
FM,BBC Radio 1 Scottish Borders Ashkirk,BBC Radio 1,98700000,55.510631,-2.840766,303,20.3208,,
FM,BBC Radio 1 Axe Valley,BBC Radio 1,99100000,50.74593,-3.016766,169,0.08,,
